transcription_index,answer_key,file
1,bada.cghbfichgd.ie.hdgbfbf.diahgcah,Pic1.gif
2,hiffcehhca.deeabfcabd.gieaied.aaahf,Pic2.gif
3,agfgbiddai.gbdcggaibi.caihdccca.eia,Pic3.gif
4,aba.fiaffdibgd.gfedifdabe.hg.eaabce,Pic4.gif
5,de.f.ce.b.igiggagdig.iieigbdchg.cac,Pic5.gif
6,cdh.ccadb.hgh.deg.i.cfghd.ffcghfa.i,Pic6.gif
7,egh.hei.cdag.iiaa.hchibbbgd.dgbecha,Pic7.gif
8,iidcfehdbd.cibg.gfeecibdih.eedbb.eg,Pic8.gif
9,dggddbgc.cggadafge.befbccfhee.cdhia,Pic9.gif
10,hceh.i.chgfbchebg.fffd.e.dfdad.cbga,Pic10.gif
11,cggh.daaeadeff.gfhdef.aghgead.ifbgg,Pic11.gif
12,cahihbeddh.bcgagddfcb.hg.fiffafhchc,Pic12.gif
13,ggahaciebb.dcdfddahfe.eahidffiec.g.,Pic13.gif
14,ggibh.hfighaafab.bbchcebfba.c.fgigf,Pic14.gif
15,cdgg.aciaeeiifg.gceg.eccdeadbd.dabg,Pic15.gif
16,cgbfgih.bcidgbbigd.dbbbfbchig.ihi.i,Pic16.gif
17,cehgfeecbh.bbahifefa.dahhc.caabcc.c,Pic17.gif
18,beacgdhdag.dfffigcdb.cbfhigccei.iac,Pic18.gif
19,adiabagbgb.hi.chgdii.fea.ifaebhaiea,Pic19.gif
20,h.gcddfa.giddacbggg.ihideagade.fcaf,Pic20.gif
21,ecd.ehbdgbbehh.hh.cdbdegbeii.diahce,Pic21.gif
22,h.gggab.cbchaddedh.bdgcah.ddhe.if.c,Pic22.gif
23,bacg.bicicigaae.ebhebiieab.fgaeihfi,Pic23.gif
24,aidhgf.cbagcbiaf.agcabhe.cfdbgdhghi,Pic24.gif
25,fbaeie.ahchbd.fdf.chbgbhcbdb.dggcab,Pic25.gif
26,ca.eageaihggi.dge.d.hbgbeg.effdciig,Pic26.gif
27,giifgbgaaf.bf.hfchbdadcg.cadedc.hai,Pic27.gif
28,dfdegahhbd.cha.dccebeecbc.h.afc.ied,Pic28.gif
29,hd.cedgdacfhe.eic.diebhhgdig.idgiff,Pic29.gif
30,cbcheicgeh.aicafff.ihggegfbdf.fdbga,Pic30.gif
31,higgcaecbe.cdibfggcgb.cg.df.eaebief,Pic31.gif
32,bfcb.cb.chhicbeceh.gcbahie.fh.egh.b,Pic32.gif
33,chhiaac.ca.ef.cedgafchae.chagbehcgc,Pic33.gif
34,iffafhb.ibaichf.b.cefa.gg.ggbicafae,Pic34.gif
35,eibcfdafcd.gfdi.cgcei.ci.dagcgfhadb,Pic35.gif
36,hagcggdcfi.fghhiafhed.dhcafbffca.bb,Pic36.gif
37,abfegadbi.ghfbaidhif.chdia.d.achead,Pic37.gif
38,bh.bdgdidffie.cdiefddcbb.hdedghhbfg,Pic38.gif
39,hceheehiea.adeididif.cghhfgaaed.cec,Pic39.gif
40,ieifihcgcb.bdeaa.fhbc.gcfaeiadch.ga,Pic40.gif
41,a.idgba.ce.bb.c.bg.c.acbagcgacd.iag,Pic41.gif
42,edfhhhebbg.aiaigic.fh.cb.ch.edgehe.,Pic42.gif
43,cid.habc.gcdcabi.ahheabdcfb.af.eeag,Pic43.gif
44,g.eidecacgbi.dgdbgfhiai.ge.hfc.fcif,Pic44.gif
45,hbfhfhhfae.gg.dbecediafa.gicfiibghg,Pic45.gif
46,idhaebhced.g.eeccbheeih.iifh.ged.ga,Pic46.gif
47,d.hdfigededb.hbfchcbfef.faabahdefh.,Pic47.gif
48,caidcbh.ih.dabg.aa.cha.egbdg.bbeeic,Pic48.gif
49,hhigagdbih.ii.gheg.ibhahi.ceiiaaaib,Pic49.gif
50,bdagia.gceechha.idceiigfdi.igg.hcig,Pic50.gif
51,chfbgefheh.acbbheidfb.chfgfihaib.be,Pic51.gif
52,ab.idcfdg.feaicbdfig.idebdcieb.bcca,Pic52.gif
53,gee.ibgccefe.dddbgcha.af.chegechcdg,Pic53.gif
54,db.ghfc.eb.fh.chib.af.ch.fgiddhcdge,Pic54.gif
55,egbedafcbd.faga.iceeecgdid.cefebiie,Pic55.gif
56,cghieecfca.dafcheeh.e.ae.igdbdaeaif,Pic56.gif
57,iafbcfgdic.g.acge.aeaii.fagbefaiie.,Pic57.gif
58,baabggb.ffci.bai.cfhiii.ifdbbgdfbc.,Pic58.gif
59,begdahgb.cibhahha.hi.aheidcbdhh.abg,Pic59.gif
60,chggbccdee.cdffffcdef.cf.bhgcdc.h.b,Pic60.gif
61,afcfgfgafd.hgh.aibaeaecfi.dcfc.edai,Pic61.gif
62,gecbicecc.icbb.afachicebi.ffccegagh,Pic62.gif
63,dbfcffgbc.afhahghfec.hhici.cigg.hda,Pic63.gif
64,cg.agbigdgdbd.eg.bccfche.digchfa.ff,Pic64.gif
65,h.dfaifeedhe.ieh.gcgdefabha.a.hefce,Pic65.gif
66,egghbgefai.fbiddbbda.ci.caghbcda.dg,Pic66.gif
67,fcgcga.ieecbghade.cfdbhc.dbf.icghdh,Pic67.gif
68,aafb.b.h.fgdih.bciceh.abdhifciig.cf,Pic68.gif
69,cgdedhfghg.cffa.iib.ffbefabgge.gihh,Pic69.gif
70,fifceccbeh.hg.fccf.ifd.e.caaficagge,Pic70.gif
71,hfid.cbcade.c.cdiidcfbie.cg.acegcih,Pic71.gif
72,gghbehg.gcaibegeei.bbdbaghbfd.hibfh,Pic72.gif
73,f.ib.bfcgcg.ba.idigchiaeg.fbcdbidfe,Pic73.gif
74,gadb.c.cfd.fc.dffbdheg.cgcgbbdb.gcg,Pic74.gif
75,dcibidac.fidbabghhc.cdfdgfcfh.dbaeb,Pic75.gif
76,ddaedcd.c.iaecdgeefi.hbghcecgd.fedd,Pic76.gif
77,gacidhcg.gh.gghgihehff.ccd.ccahabfh,Pic77.gif
78,ihge.bgdgcchbdd.d.fhchadiagc.aecea.,Pic78.gif
79,dhibfceecg.fg.ddgbeegbch.gg.b.cfhbg,Pic79.gif
80,aichf.ccdebbc.g.hihhgbeh.e.ea.cggcg,Pic80.gif
81,aacfadgc.ebh.iiedbhbadh.a.dbeegfbaa,Pic81.gif
82,fhiidgigbh.aedbbacifi.bcicd.baifhg.,Pic82.gif
83,cb.ccaghbifei.afcfhi.id.ica.ebiccch,Pic83.gif
84,gg.afighdidha.ecchdgddea.hfc.cfbid.,Pic84.gif
85,bdgicechc.fb.hd.i.bhh.d.bdid.figgga,Pic85.gif
86,ieahdddcee.adheggafdd.heggef.dcedce,Pic86.gif
87,aefaaahhbg.fcbdfbecbd.cgiecdhhce.ii,Pic87.gif
88,h.igaihiaihc.dfaffaiahc.cihcabgadh.,Pic88.gif
89,giaeiaicec.eigbbi.dif.dfb.bagidcaaf,Pic89.gif
90,hf.cahghcbd.cibagggdib.adabid.ceihf,Pic90.gif
91,chedegebid.dd.ccifgb.hdaabehiff.dha,Pic91.gif
92,ahcabgffd.b.cgfaieiehf.cgddbch.hagc,Pic92.gif
93,hiaffheiea.c.agaeghh.h.fe.iddhhedig,Pic93.gif
94,hdbbfehgde.fieibbd.fegffgefga.aibda,Pic94.gif
95,hfcbchaehc.dbcabfgede.c.aeeagiagch.,Pic95.gif
96,icaaachg.c.bbhghgcdhg.dhadiefa.bf.d,Pic96.gif
97,aah.ighbha.fcbiaeebb.cd.ib.egffg.ce,Pic97.gif
98,ccac.dih.e.fbbghbeedg.gcidbfci.iaid,Pic98.gif
99,hdhegbhae.cfdidafghb.fhdae.cgfchd.i,Pic99.gif
100,fdfeebaaib.agidfghc.ce.eadieeacia.a,Pic100.gif
101,cgfibccd.hghfacibea.ahaccf.cecfciff,Pic101.gif
102,hbddhedghg.hed.aifegdhdag.caihgddhh,Pic102.gif
103,ffa.gf.fdabbageca.cig.daahbiib.egic,Pic103.gif
104,i.ghhdhgh.igacgdfeah.bfhibhicid.f.d,Pic104.gif
105,bfcebbfeii.hhfhhchd.haeaibicdi.cffh,Pic105.gif
106,ehdcaddbhi.iaeeeeaccg.fb.cfaa.i.dg.,Pic106.gif
107,gd.adfcfaehhh.hddggeeahd.cadgc.eaeg,Pic107.gif
108,dig.cdgfabieei.i.dhchdcifea.icadebf,Pic108.gif
109,abhfh.edbcdaffgi.iddagb.ccgibgghfg.,Pic109.gif
110,chibgbgedi.heeeiggged.c.b.i.dceegah,Pic110.gif
111,dbd.ediccaf.cghddcfaid.cibicg.cieai,Pic111.gif
112,i.c.fcbdhehdib.ce.haaacf.dh.hacdhdg,Pic112.gif
113,cagdghh.ec.gebiagff.cfcbehhhab.dgdd,Pic113.gif
114,fifc.bfe.bfaahedace.cc.fc.cedhfg.cc,Pic114.gif
115,ca.bdggecgegb.a.adabd.ib.be.deeafca,Pic115.gif
116,cefdcidca.cb.fehiaeeaac.eegedbdhbg.,Pic116.gif
117,dbgdeicdid.f.gghieehee.bedhehafcf.d,Pic117.gif
118,caaeahae.aaiega.ffafd.aigead.aid.fh,Pic118.gif
119,c.aacgciiahb.cdbfebic.fecdbg.dbcd.a,Pic119.gif
120,fafieeggf.idbdeaa.cdiifagafh.cheb.c,Pic120.gif
121,cibedeigeg.ghbchf.a.dgdfchfiih.cgbi,Pic121.gif
122,gcfaabbaci.iagegc.fd.hihbeeebah.aga,Pic122.gif
123,hgedhdbdfe.iieiebbfeb.bic.gida.dfba,Pic123.gif
124,hgdghcc.ffcefehdfe.cee.cchieh.g.dii,Pic124.gif
125,eiaghae.c.igeb.hididdfgic.cbhd.eagb,Pic125.gif
126,ceeb.ccbcgcdehh.bffh.caidcicbi.ccge,Pic126.gif
127,bii.iifagiceid.eeffcehcbf.eedhacfba,Pic127.gif
128,dh.hfddgfheed.ebfgihiaag.dcbbababcf,Pic128.gif
129,hhbecaedid.cafh.ggdggdhead.ecddgihb,Pic129.gif
130,dfbcegfied.ighchaf.ghdchd.ghheeiccd,Pic130.gif
